feature,coefficient
const,0.513557206471056
Return,-0.12417703629734014
Return_5d,-0.26029436189828126
Return_20d,0.4243013237760298
Return_Smooth,0.8742354339587516
RSI_14,2.416938309295402
MACD_Hist,-1.0784657723461601
Drawdown,-0.1987950058150445
VIX,-0.6694855859921377
VIX_Change,0.03180147999135919
VIX_Change_5d,0.07984932683074661
GDP_YoY,0.013384559929268932
Core_Inflation_YoY,-0.26425932804234203
M2_YoY,0.06629136595486111
Unemployment,-0.20134447709972847
Risk_Adj_Return_20d,-0.467669035646436
Relative_Volume,0.055116952833395676
MACD_Hist_Accel,-0.416444607367045
