feature,coefficient
const,0.44675079132617135
Return,-0.07968003017141032
Return_5d,-0.4355534575001128
Return_20d,0.5540885330197616
Return_Smooth,1.0831295334012676
RSI_14,1.9603324037593062
MACD_Hist,-0.9227848784905556
Drawdown,-0.19390964273997524
VIX,-0.6156116676064645
VIX_Change,0.00017834314585782497
VIX_Change_5d,0.03742759344080798
GDP_YoY,0.016706553492848004
Core_Inflation_YoY,-0.2558164014996953
M2_YoY,0.02607955426575805
Unemployment,-0.1764925680331682
Risk_Adj_Return_20d,-0.44870469455826195
Relative_Volume,0.03392133475550256
MACD_Hist_Accel,-0.3450276764117659
